,Scenario,ParticipantID,study_session,repetition,timestamp_ms,phase,HeightNormalization,ArmLengthNormalization,CenterEyeAnchor_pos_X,CenterEyeAnchor_pos_Y,CenterEyeAnchor_pos_Z,CenterEyeAnchor_euler_X,CenterEyeAnchor_euler_Y,CenterEyeAnchor_euler_Z,LeftControllerAnchor_pos_X,LeftControllerAnchor_pos_Y,LeftControllerAnchor_pos_Z,LeftControllerAnchor_euler_X,LeftControllerAnchor_euler_Y,LeftControllerAnchor_euler_Z,RightControllerAnchor_pos_X,RightControllerAnchor_pos_Y,RightControllerAnchor_pos_Z,RightControllerAnchor_euler_X,RightControllerAnchor_euler_Y,RightControllerAnchor_euler_Z,LeftVirtualHand_pos_X,LeftVirtualHand_pos_Y,LeftVirtualHand_pos_Z,LeftVirtualHand_euler_X,LeftVirtualHand_euler_Y,LeftVirtualHand_euler_Z,RightVirtualHand_pos_X,RightVirtualHand_pos_Y,RightVirtualHand_pos_Z,RightVirtualHand_euler_X,RightVirtualHand_euler_Y,RightVirtualHand_euler_Z,Arrow_pos_X,Arrow_pos_Y,Arrow_pos_Z,Arrow_euler_X,Arrow_euler_Y,Arrow_euler_Z
0,Archery,11,1,12,0,0,False,False,20.26365,1.711362,27.66171,349.3828,21.58074,341.9011,20.39004,1.562389,28.1127,2.695635,358.8806,358.5406,20.4284,1.509596,27.53835,324.4536,64.33968,351.713,20.39004,1.562389,28.1127,2.695635,358.8806,358.5406,20.4284,1.509596,27.53835,324.4536,64.33968,261.713,19.455,1.405,28.3,0.0,0.0,0.0
1,Archery,11,1,12,14,0,False,False,20.26384,1.711038,27.66144,349.3864,21.57773,341.8135,20.38897,1.56238,28.11354,2.729407,358.6114,358.6751,20.4286,1.509548,27.53856,324.8622,64.04207,352.2236,20.38897,1.56238,28.11354,2.729407,358.6114,358.6751,20.4286,1.509548,27.53856,324.8622,64.04207,262.2236,19.455,1.405,28.3,0.0,0.0,0.0
2,Archery,11,1,12,27,0,False,False,20.26385,1.710488,27.66095,349.4431,21.57543,341.7791,20.38834,1.562342,28.1141,2.619241,358.3924,358.6253,20.42879,1.50948,27.53878,325.2906,62.85366,352.5871,20.38834,1.562342,28.1141,2.619241,358.3924,358.6253,20.42879,1.50948,27.53878,325.2906,62.85366,262.5871,19.455,1.405,28.3,0.0,0.0,0.0
3,Archery,11,1,12,47,0,False,False,20.26377,1.710264,27.6608,349.5716,21.59087,341.7283,20.38831,1.562257,28.11437,2.499101,358.3932,358.4752,20.42889,1.509411,27.53894,325.6984,61.77455,352.9864,20.38831,1.562257,28.11437,2.499101,358.3932,358.4752,20.42889,1.509411,27.53894,325.6984,61.77456,262.9863,19.455,1.405,28.3,0.0,0.0,0.0
4,Archery,11,1,12,72,0,False,False,20.2639,1.710021,27.66019,349.7321,21.64941,341.5347,20.38883,1.561959,28.11422,2.69509,358.6269,358.4516,20.42896,1.509282,27.53914,326.399,60.54133,353.9193,20.38883,1.561959,28.11422,2.69509,358.6269,358.4516,20.42896,1.509282,27.53914,326.399,60.54133,263.9193,19.455,1.405,28.3,0.0,0.0,0.0
5,Archery,11,1,12,82,0,False,False,20.2641,1.709996,27.66002,349.7778,21.73399,341.4014,20.38881,1.561667,28.11445,2.89378,358.7429,358.6614,20.42897,1.509219,27.53922,326.663,60.17104,354.258,20.38881,1.561667,28.11445,2.89378,358.7429,358.6614,20.42897,1.509219,27.53922,326.663,60.17104,264.258,19.455,1.405,28.3,0.0,0.0,0.0
6,Archery,11,1,12,97,0,False,False,20.26424,1.71015,27.65985,349.7859,21.8558,341.2423,20.38906,1.561302,28.11436,3.144097,358.9117,358.8773,20.42899,1.509153,27.53932,326.9539,60.12724,354.4305,20.38906,1.561302,28.11436,3.144097,358.9117,358.8773,20.42899,1.509153,27.53932,326.9539,60.12724,264.4305,19.455,1.405,28.3,0.0,0.0,0.0
7,Archery,11,1,12,125,0,False,False,20.26419,1.710222,27.65969,349.771,21.98591,341.0967,20.38939,1.561194,28.114,3.110764,358.8875,358.8313,20.42901,1.509099,27.5394,327.2584,60.24706,354.4378,20.38939,1.561194,28.114,3.110764,358.8875,358.8313,20.42901,1.509099,27.5394,327.2584,60.24706,264.4378,19.455,1.405,28.3,0.0,0.0,0.0
8,Archery,11,1,12,132,0,False,False,20.2642,1.710182,27.65964,349.7469,22.13363,340.9943,20.39024,1.561042,28.11324,2.810972,358.7885,358.4645,20.42908,1.509053,27.53949,327.339,60.66021,354.2005,20.39024,1.561042,28.11324,2.810972,358.7885,358.4645,20.42908,1.509053,27.53949,327.339,60.66021,264.2005,19.455,1.405,28.3,0.0,0.0,0.0
9,Archery,11,1,12,138,0,False,False,20.26427,1.710084,27.65953,349.7447,22.23525,340.9288,20.39117,1.560812,28.1125,2.596847,358.8205,358.1705,20.42911,1.509044,27.53952,327.436,60.84219,354.1205,20.39117,1.560812,28.1125,2.596847,358.8205,358.1705,20.42911,1.509044,27.53952,327.436,60.84219,264.1205,19.455,1.405,28.3,0.0,0.0,0.0
